Author,CoAuthor,Title,Year
David Moloney,Tejas Pandey,Leveraging Deep Learning for Visual Odometry Using Optical Flow.,2021
David Moloney,Dexmont Pe¤a,Leveraging Deep Learning for Visual Odometry Using Optical Flow.,2021
David Moloney,Jonathan Byrne,Leveraging Deep Learning for Visual Odometry Using Optical Flow.,2021
David Moloney,Xiaofan Xu,1.2 Watt Classification of 3D Voxel Based Point-clouds using a CNN on a Neural Compute Stick.,2020
David Moloney,Sam Caulfield,1.2 Watt Classification of 3D Voxel Based Point-clouds using a CNN on a Neural Compute Stick.,2020
David Moloney,Joao Amaro,1.2 Watt Classification of 3D Voxel Based Point-clouds using a CNN on a Neural Compute Stick.,2020
David Moloney,Gabriel Falc?o 0001,1.2 Watt Classification of 3D Voxel Based Point-clouds using a CNN on a Neural Compute Stick.,2020
David Moloney,David Rijlaarsdam,A Survey of Lost-in-Space Star Identification Algorithms Since 2009.,2020
David Moloney,Hamza Yous,A Survey of Lost-in-Space Star Identification Algorithms Since 2009.,2020
David Moloney,Jonathan Byrne,A Survey of Lost-in-Space Star Identification Algorithms Since 2009.,2020
David Moloney,Davide Oddenino,A Survey of Lost-in-Space Star Identification Algorithms Since 2009.,2020
David Moloney,Gianluca Furano,A Survey of Lost-in-Space Star Identification Algorithms Since 2009.,2020
David Moloney,David Rijlaarsdam,Efficient Star Identification Using a Neural Network.,2020
David Moloney,Hamza Yous,Efficient Star Identification Using a Neural Network.,2020
David Moloney,Jonathan Byrne,Efficient Star Identification Using a Neural Network.,2020
David Moloney,Davide Oddenino,Efficient Star Identification Using a Neural Network.,2020
David Moloney,Gianluca Furano,Efficient Star Identification Using a Neural Network.,2020
David Moloney,Ananya Gupta,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Jonathan Byrne,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Simon Watson,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Hujun Yin,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Monodeep Kar,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Amit Agarwal 0001,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Steven Hsu,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Gregory K. Chen,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Raghavan Kumar,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Huseyin Sumbul,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Phil V. Knag,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Mark Anders,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Himanshu Kaul,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Jonathan Byrne,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Luca Sarti,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Ram Krishnamurthy,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Vivek De,A Ray-Casting Accelerator in 10nm CMOS for Efficient 3D Scene Reconstruction in Edge Robotics and Augmented Reality Applications.,2020
David Moloney,Ananya Gupta,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Jonathan Byrne,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Simon Watson,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Hujun Yin,Tree Annotations in LiDAR Data Using Point Densities and Convolutional Neural Networks.,2020
David Moloney,Tomaso Cetto,Size/Accuracy Trade-Off in Convolutional Neural Networks: An Evolutionary Approach.,2019
David Moloney,Jonathan Byrne,Size/Accuracy Trade-Off in Convolutional Neural Networks: An Evolutionary Approach.,2019
David Moloney,Xiaofan Xu,Size/Accuracy Trade-Off in Convolutional Neural Networks: An Evolutionary Approach.,2019
David Moloney,Jos‚ Luis Espinosa-Aranda,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Noelia V llez,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Jose M. Rico-Saavedra,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Javier Parra-Patino,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Gloria Bueno Garc¡a,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Matteo Sorci,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Dexmont Pe¤a,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Oscar D‚niz-Su rez,Smart Doll: Emotion Recognition Using Embedded Deep Learning.,2018
David Moloney,Athanasios Xygkis,Efficient winograd-based convolution kernel implementation on edge devices.,2018
David Moloney,Lazaros Papadopoulos,Efficient winograd-based convolution kernel implementation on edge devices.,2018
David Moloney,Dimitrios Soudris,Efficient winograd-based convolution kernel implementation on edge devices.,2018
David Moloney,Sofiane Yous,Efficient winograd-based convolution kernel implementation on edge devices.,2018
David Moloney,Kevin Lee,Digital Scene Augmentation Techniques for Generating Photo-Realistic Virtual Crowds.,2018
